date,excellent,fair,good,link,product_id,product_name,provider,rating,reviews
31_Oct_22,Sold out,929.00,Sold out,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-max-512-gb-gold-unlocked/40d4e6e0-5348-44e8-b334-e2a92593b6f0,iPhone 13 Pro Max 512 GB - Gold - Unlocked,iPhone 13 Pro Max,Getmobiles.co.uk,4.6,121
31_Oct_22,Sold out,Sold out,800.00,https://www.backmarket.co.uk/en-gb/p/iphone-13-mini-512-gb-unlocked/7f1b1e85-d352-41a6-9386-20d1b9aab87b,iPhone 13 mini 512 GB - Midnight - Unlocked,iPhone 13 mini,(NI) Britain Tech Ltd,4.7,47
31_Oct_22,Sold out,599.00,680.00,https://www.backmarket.co.uk/en-gb/p/iphone-13-mini-256-gb-green-unlocked/a1ad833c-83f7-4987-ad98-4296836da0fb,iPhone 13 mini 256 GB - Green - Unlocked,iPhone 13 mini,Digital Techno,4.7,47
31_Oct_22,Sold out,Sold out,846.25,https://www.backmarket.co.uk/en-gb/p/iphone-13-mini-512-gb-productred-unlocked/27ec1c46-06ca-447e-88ed-ca9dafd959fe,iPhone 13 mini 512 GB - (Product)Red - Unlocked,iPhone 13 mini,(NI) Britain Tech Ltd,4.7,47
31_Oct_22,269.00,239.99,Sold out,https://www.backmarket.co.uk/en-gb/p/iphone-8-plus-256-gb-productred-unlocked/3eef769a-9c92-4a18-8115-013a13c5f270,iPhone 8 Plus 256 GB - (Product)Red - Unlocked,iPhone 8 Plus,Phones Direct UK,4.4,181
31_Oct_22,Sold out,"1,085.00",Sold out,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-1000-gb-gold-unlocked/d5167769-a85a-415d-a5eb-0fa019416271,iPhone 13 Pro 1000 GB - Gold - Unlocked,iPhone 13 Pro,(NI) Britain Tech Ltd,4.5,136
31_Oct_22,Sold out,Sold out,815.00,https://www.backmarket.co.uk/en-gb/p/iphone-13-mini-512-gb-blue-unlocked/d6d3cb08-5785-4e42-a3bb-f6c1e61718c1,iPhone 13 mini 512 GB - Blue - Unlocked,iPhone 13 mini,(NI) Britain Tech Ltd,4.7,47
31_Oct_22,830.00,Sold out,954.13,https://www.backmarket.co.uk/en-gb/p/iphone-13-512-gb-unlocked/57714cb2-bb00-4a67-b7ef-e45b1f799b90,iPhone 13 512 GB - Midnight - Unlocked,iPhone 13,musicMagpie,4.6,122
31_Oct_22,Sold out,655.00,644.27,https://www.backmarket.co.uk/en-gb/p/iphone-13-mini-256-gb-productred-unlocked/cf289831-e6b5-463e-999d-c6d352796288,iPhone 13 mini 256 GB - Red - Unlocked,iPhone 13 mini,SmartFoneStoreUK,4.7,47
31_Oct_22,799.00,899.00,850.00,https://www.backmarket.co.uk/en-gb/p/iphone-13-256-gb-green-unlocked/6b725a0e-3c5c-4ac4-bcbb-6081176ffdee,iPhone 13 256 GB - Green - Unlocked,iPhone 13,Getmobiles.co.uk,4.6,122
31_Oct_22,Sold out,999.00,830.00,https://www.backmarket.co.uk/en-gb/p/iphone-13-512-gb-pink-unlocked/45d1d91f-70d4-4ffc-bb26-6a28b558d4f6,iPhone 13 512 GB - Pink - Unlocked,iPhone 13,(NI) Britain Tech Ltd,4.6,122
31_Oct_22,799.99,Sold out,Sold out,https://www.backmarket.co.uk/en-gb/p/iphone-13-512-gb-blue-unlocked/d505f4c1-eaac-42be-9ef8-cc4d1a2862ee,iPhone 13 512 GB - Blue - Unlocked,iPhone 13,Mazuma,4.6,122
31_Oct_22,"1,049.00",Sold out,Sold out,https://www.backmarket.co.uk/en-gb/p/iphone-13-512-gb-productred-unlocked/0856adb6-cf00-4967-b75c-f7c55723027b,iPhone 13 512 GB - Red - Unlocked,iPhone 13,Fone-Central Ltd,4.6,122
31_Oct_22,Sold out,Sold out,688.17,https://www.backmarket.co.uk/en-gb/p/iphone-13-mini-256-gb-unlocked/152b5158-1407-4949-a976-e04012f93f2b,iPhone 13 mini 256 GB - Midnight - Unlocked,iPhone 13 mini,SmartFoneStoreUK,4.7,47
